States,ItemLabels,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20
ANAMBRA,Onion bulb / 1Kg,192.07666,195.28372,198.0718,181.53682,125.07333,213.39125,170.41292,178.94273,226.8891667,223.45984,211.7831,212.26848,213.93,195.7475,208.81352,190.4762,196.79639,204.27022,222.22055,212.076,219.4228,210.20203,225.07933,225.84656,192.11952,224.33862,223.17131,211.42552,215.32939,222.04645,228.02356,206.10269,212.11,192.2372638,300,387.2089,325.40897,283.0749,253.53926,275.84314,281.58572,249.9248,192.77211,224.95,209.59596,219.4161538,194.01,235.41,237.4689363,265.2410552,298.8687783,270.9471337
ANAMBRA,"Palm oil: 1 bottle,specify bottle",,,,,,,,,,,,,403.04,394.44,408.72,405.24,413.72,449.44,450.87,450,386.31,450.11,481.95346,486.66666,522.2222,512.6437,500.44446,498.8506,477.193,468.8889,478.57144,497.43588,503.69232,503.9945231,508.0265,500.24692,505.74713,486.4,466.66666,468,451.334,427.87878,432.25806,453.33,459.75308,457.9730435,456.79,463.77,444.5977011,466.6666667,434.6666667,448.2051282
ANAMBRA,Plantain(ripe),,,,,,,,,,,,,270.44,241.75,227.34,215.99,237.57,235,238.34,245,249.56,235.35,245.494,243.84886,263.1579,190.21323,193.88472,190.63232,198.9311,198.5066,218.74077,238.6635,258.04037,220,200,250.2285,234.21823,221.04332,197.80092,251.71635,235.35071,266.26706,245.70763,237.49,298.66577,238.1,216.23,212.04,246.3663393,244.9411699,231.7042984,264.5781135
ANAMBRA,Plantain(unripe),,,,,,,,,,,,,234.34,247.18,239.68,215.11,230.96,258.63,249.58,247.23,226.08,259.01,264.062,259.21716,242.85715,203.94917,202.85516,185.92732,193.91751,207.87444,193.72806,205.1936,212.73238,192.8812924,200,195.40762,196.69092,197.2798,172.139,200.07477,197.05917,249.66464,233.22635,226.04,200.1841,195.1441667,200.07,220.27,241.2499647,243.2973577,209.3176916,258.959766
ANAMBRA,Rice Medium Grained / 1Kg,165.08344,166.06166,239.50269,221.88417,240.68571,285.08276,293.67664,357.7355,368.6395833,320.90692,361.32715,380,388.31,477.28125,440,387.96756,397.92056,346.66666,372.2936,350.36417,344.55783,330,320,320.86273,306.27625,369.7052,369.80222,372,348.3893,370,360,363.07693,356.66666,356.952,357.20187,332,355.73642,356,347.14285,352.14285,339.16666,353.33334,320,304,344,325,450.87,458,450.86431,442.3076923,396.9565217,420.4761905
ANAMBRA,Rice agric sold loose / 1Kg,207.97842,245.81,241.73447,253.75528,268.64484,344.60165,311.26938,380.7876,419.9949275,418.0472,419.98206,395.40775,420.99,394.72583,394.13055,378.5193,390.16663,368.59586,395.55,364.47238,363.3854,346.35394,347.44763,345.71808,323.0392,374.18182,371.55554,361.34763,354.8105,351.65503,344.0144,354.36734,353.6842,353.8964211,354.14413,352.38095,360,363.92157,360.62793,351.81818,355.29413,365,317.82608,313.33,319.16666,269.6153846,400.77,398.5,323.4074074,319.7037037,268.8690476,304.08
ANAMBRA,Rice local sold loose / 1Kg,152.20479,174.7553,212.29933,203.96666,217.73067,277.80368,266.39926,322.97397,348.29,304.30392,320.5403,328.90494,332.0075,383.7024,351.87292,319.60275,339.91235,305.46637,320.85,306.215,301.9021,300.442,289.17593,280.05798,261.33267,259.6836,288.243,265.4505,267.4074,263.3068,270.2844,260.2381,270.2564,270.4185641,272.60785,278.73563,264.63602,280.8889,276.5684,269.65518,262.63916,268.18182,284.5878,262.5,258.51852,350.31638,426,436.67,420.1428571,416.6666667,398,420
ANAMBRA,"Rice,imported high quality sold loose / 1Kg",208.80771,213.88069,278.37363,291.43542,325.8791,380.85104,343.61438,397.82312,474.1148148,465.16492,470.44553,488.72458,495.205,444.2819,431.3867,429.71454,437.00854,399.216,418.11227,391.90134,385.6584,357.77832,357.28784,350.93423,346.9848,408.3945,403.8351,411.70654,401.44446,399.1339,397.6736,390.7888,395.99228,396.3090673,398.5865,397.15555,401.84027,406.49573,400.04938,385.1613,388.8,392.72726,375.88235,362.66,384.44446,417.6,497.14,506.36,495.2666667,501.3333333,473.3333333,523.2
ANAMBRA,Sweet potato,,,,,,,,,,,,,117.515,117.19875,117.78,115.03095,111.285065,114.285,116.28,114.91,110.91565,113.950356,117.682,119.30326,105.25,119.92356,147.25923,157.25473,155.32784,153.14731,151.62903,153.76846,176.09694,155,120,125.909035,122.84614,138.56538,168.60115,165.42186,170.0175,198.88205,171.08586,154.92,171.61172,132.9657143,107.06,136.89,144.2003367,146.5482308,159.2861208,160.4850542
ANAMBRA,Tilapia fish (epiya) fresh,,,,,,,,,,,,,693.83,694.2962,689.09,695.9167,698.00525,702.03,709.09,703.48,702.0909,714.5455,710,710,709.1954,800,907.46375,960,1000,934.7826,1000,1000.6,1090.909,1091.454545,1102.4369,1043.4783,983.0769,927.4885,930.96454,931.52313,937.11224,912.5,881.588,882.3814,836.0059,842.6939394,848.592797,863.16,869.5652174,875.6521739,850.5,857.304
ANAMBRA,Titus:frozen,,,,,,,,,,,,,659.5,651.7475,652.695,651.9152,642.79065,655.705,658.83,657.45,652.1688,719.9049,727.53064,725.9446,828.5714,927.1913,1015.7392,961.5327,937.72174,921.85474,941.4843,985.9988,974.0213,974.5083325,950,984.18805,1005.68866,1010.7171,967.6871,973.0499,961.06714,942.5926,884.88,912.94,900.25,970.8835714,952.01,959.62608,900.0716347,884.9206349,903.5658016,975.8333333
ANAMBRA,Tomato / 1Kg,237.48,222.11282,230.9882,299.4885,811.90454,790.32,727.2471,301.41397,327.90375,341.37726,325.12775,301.05566,325.66833,298.62228,335.94632,330.08658,383.60083,422.82333,516.5038,432.301,348.18216,334.666,336.62073,323.7255,218.23843,301.58316,295.87286,344.32193,347.20538,361.51056,377.27676,375.63162,253.34624,303.5489156,253.7614,329.92007,292.48038,285.90714,260.86017,277.72952,279.24432,236.46027,200.66,250.28,250.27428,306.618,349.64,357.26,301.1226383,293.1698309,308.1776557,326.3383838
ANAMBRA,"Vegetable oil:1 bottle,specify bottle",,,,,,,,,,,,,384.84,394.92,405.13,436.78,454.1,464.73,459.39,448.31,385.21,465.42,469.66632,465.50876,485,548.3871,551.4286,545.679,531.9298,533.3333,517.7778,512.5926,528.71796,528.9823077,529.4584,539.4872,525.4023,517.2222,524.44446,555.1111,543.0676,497.22223,525.5172,514.28,490.76923,478.2617391,488.89,500.67,515.5555556,495.1724138,517.3333333,533.3333333
ANAMBRA,Wheat flour: prepacked (golden penny 2kg),,,,,,,,,,,,,706.4,700,700,678.88,646.08,640.87,653.12,658.33,689.27,641.83,658.7273,657,675,705,741.6667,712.5,740,730,715,702.2222,709.0909,720.8333333,731.6667,745.8333,731.8182,750,755.3333,758.8889,747.5,750,725,735.71,730,727.2727273,730,735.624189,755,754.5454545,763.6363636,766.6666667
ANAMBRA,Yam tuber / 1Kg,111.58045,121.409164,128.20833,166.89,176.47182,230.92667,146.4659,159.46773,199.1471154,165.51836,161.16139,161.47,169.985,201.39833,218.41225,218.56592,245.15009,234.23346,238.38177,230.8209,213.64307,194.28596,192.49,190.03871,182.09586,141.57167,187.03268,196.34023,218.13626,230.25905,220.47469,235.54802,198.3627,186.4618859,176.5854,178.9123,164.73065,154.66312,130.50342,163.93158,165.17267,149.70601,176.99918,176.27,209.63239,189.4057143,200.34,212.17,197.4585543,189.9148409,143.5061918,192.8931401
BAUCHI,Agric eggs medium size / 1 Dozen,250.20833,300,325,291.66666,358,285,290.03,360.7,360,359.3,358.6,357.9,357.2,434,434.2857,524.1667,564,536.3333,498,453.33334,453,449.5,450.5,456.42856,427.14285,475.27274,475.91306,500.25,485,498.7143,432.85715,450,420,427.1428571,430,437.14285,460,438,440.6,461.81818,463.33334,485,427.5,454.44,446,454.4444444,435,434.81,443.8461538,410,450,447.6923077
BAUCHI,Agric eggs(medium size price of one) / 1 Piece,30,30.416666,29.375,30,30,37,30,32.5,30,40.569435,37.083332,40.56,47.8,48.035713,48.233334,44.636364,48.636364,45.75,42.5,40,41.02,39.090908,39.29091,39.385715,38.441177,37.916668,37.38095,37.916668,36.81818,39.285713,37.857143,38.5,39.375,38.44117647,37.923077,37.857143,40,38.6875,38.836365,40.090908,40.18313,39.166668,37.272728,38.18,39.090908,39.09090909,38.18,37.2,38.472819,38.22,41,40
